Address,Jurisdiction,ZoningCode,FrontSetback,SideSetback,RearSetback,HeightLimit,LotCoverage,PermitAuthorityURL,TypicalPermitTimelineDays,Notes
9200 Old Keene Mill Rd Burke VA 22015,Fairfax County VA,R-1,40 ft,15 ft,35 ft,35 ft,25%,https://www.fairfaxcounty.gov/planning-development/zoning,45,Fairfax R-1 low-density single-family; large lots; 20000 sq ft min; conservative setbacks
3204 Annandale Rd Falls Church VA 22042,Fairfax County VA,R-3,30 ft,10 ft,25 ft,35 ft,35%,https://www.fairfaxcounty.gov/planning-development/zoning,45,Fairfax R-3 single-family residential; 11000 sq ft min lot; Annandale area; moderate suburban
8601 Leesburg Pike Vienna VA 22182,Fairfax County VA,PDH-3,20 ft,10 ft,20 ft,45 ft,45%,https://www.fairfaxcounty.gov/planning-development/zoning,60,Fairfax PDH planned development housing; mixed single-family and townhouse; flexible setbacks
11166 Main St Fairfax VA 22030,Fairfax County VA,RL,25 ft,10 ft,25 ft,35 ft,40%,https://www.fairfaxcounty.gov/planning-development/zoning,45,Fairfax RL residential low-density; townhouse cluster allowed; historic Fairfax City area
8510 Connecticut Ave Chevy Chase MD 20815,Montgomery County MD,R-60,25 ft,10 ft,30 ft,35 ft,35%,https://montgomeryplanning.org/planning/zoning/,45,Montgomery County R-60 single-family; 6000 sq ft min lot; close-in suburban; moderate setbacks
10500 Rockville Pike Rockville MD 20852,Montgomery County MD,RE-2,50 ft,20 ft,30 ft,35 ft,30%,https://montgomeryplanning.org/planning/zoning/,45,Montgomery R-E2 estate residential; large lots; low coverage; North Potomac / Darnestown area
209 Perry Pkwy Gaithersburg MD 20877,Montgomery County MD,R-90,30 ft,10 ft,30 ft,35 ft,35%,https://montgomeryplanning.org/planning/zoning/,45,Montgomery R-90 single-family; 9000 sq ft min lot; Gaithersburg; standard suburban setbacks
1501 Piccard Dr Rockville MD 20850,Montgomery County MD,TLD,20 ft,4 ft,20 ft,35 ft,50%,https://montgomeryplanning.org/planning/zoning/,50,Montgomery TLD townhouse low-density; 2000 sq ft min lot per unit; attached allowed; Rockville area
8840 Colesville Rd Silver Spring MD 20910,Montgomery County MD,CBD-1,0 ft,0 ft,0 ft,55 ft,90%,https://montgomeryplanning.org/planning/zoning/,60,Montgomery CBD-1 central business district; Silver Spring downtown; minimal setbacks; urban mixed-use
4700 Silver Hill Rd Suitland MD 20746,Prince Georges County MD,R-S,35 ft,10 ft,25 ft,35 ft,30%,https://www.pgatlas.com/zoning,45,PG County R-S single-family; 8000 sq ft min lot; Suitland area; standard suburban
6200 Auth Rd Morningside MD 20746,Prince Georges County MD,R-R,40 ft,15 ft,30 ft,35 ft,25%,https://www.pgatlas.com/zoning,45,PG County R-R rural residential; large lot single-family; Camp Springs area; low density
9001 Edgeworth Dr Capitol Heights MD 20743,Prince Georges County MD,R-T,10 ft,0 ft,20 ft,40 ft,60%,https://www.pgatlas.com/zoning,45,PG County R-T rowhouse; Capitol Heights; party-wall townhouse construction; narrow side setback
4320 Brentwood Rd Brentwood MD 20722,Prince Georges County MD,R-M,25 ft,15 ft,25 ft,50 ft,65%,https://www.pgatlas.com/zoning,50,PG County R-M multifamily; College Park area; apartment buildings allowed up to 5 stories
5210 Kenilworth Ave Riverdale MD 20737,Prince Georges County MD,M-X-T,10 ft,0 ft,10 ft,65 ft,80%,https://www.pgatlas.com/zoning,60,PG County M-X-T mixed-use transportation; Riverdale transit corridor; high density mixed residential and commercial
